Modified_OA_class_3,Category_Pair,Mean_OddsRatio_All,OddsRatio_CI_lower_All,OddsRatio_CI_upper_All,Mean_OddsRatio_Sig,OddsRatio_CI_lower_Sig,OddsRatio_CI_upper_Sig,Significant_Fraction_0.05,Significant_Fraction_0.01,Significant_Fraction_0.001,Mean_Sample_Size,Filtered_N,Significant_N,level
1A,gambling_percent_income_vs_alcohol_percent_income,1.46,1.22,1.74,1.47,1.24,1.75,0.98,0.92,0.82,2470.0,100.0,98.0,group
1B,gambling_percent_income_vs_alcohol_percent_income,1.17,1.03,1.36,1.25,1.17,1.38,0.49,0.29,0.11,3692.0,100.0,49.0,group
1C,gambling_percent_income_vs_alcohol_percent_income,1.44,0.99,1.93,1.59,1.38,2.01,0.6,0.31,0.16,914.0,100.0,60.0,group
2A,gambling_percent_income_vs_alcohol_percent_income,0.98,0.53,1.67,0.95,0.5,2.08,0.07,0.01,0.0,415.0,100.0,7.0,group
2B,gambling_percent_income_vs_alcohol_percent_income,2.64,1.26,5.56,3.05,2.04,5.76,0.72,0.57,0.3,381.0,100.0,72.0,group
2C,gambling_percent_income_vs_alcohol_percent_income,1.29,0.83,1.82,1.64,1.47,1.87,0.23,0.09,0.01,732.0,100.0,23.0,group
2D,gambling_percent_income_vs_alcohol_percent_income,2.22,1.18,4.28,2.54,1.8,4.46,0.7,0.44,0.22,491.0,100.0,70.0,group
3A,gambling_percent_income_vs_alcohol_percent_income,1.54,1.0,2.2,1.88,1.58,2.45,0.41,0.23,0.03,589.0,100.0,41.0,group
3B,gambling_percent_income_vs_alcohol_percent_income,2.65,1.47,4.32,2.73,1.87,4.34,0.94,0.75,0.38,382.0,100.0,94.0,group
3C,gambling_percent_income_vs_alcohol_percent_income,1.88,0.92,3.52,2.61,2.04,3.78,0.32,0.12,0.04,196.0,100.0,32.0,group
3D,gambling_percent_income_vs_alcohol_percent_income,1.07,0.7,1.7,1.87,1.78,2.03,0.03,0.01,0.0,443.0,100.0,3.0,group
4A,gambling_percent_income_vs_alcohol_percent_income,1.5,1.21,1.81,1.52,1.26,1.81,0.96,0.89,0.73,2133.0,100.0,96.0,group
4B,gambling_percent_income_vs_alcohol_percent_income,3.39,2.29,4.48,3.39,2.29,4.48,1.0,1.0,1.0,1069.0,100.0,100.0,group
4C,gambling_percent_income_vs_alcohol_percent_income,1.45,1.13,1.9,1.56,1.33,1.98,0.67,0.44,0.21,1181.0,100.0,67.0,group
5A,gambling_percent_income_vs_alcohol_percent_income,1.46,1.27,1.67,1.46,1.27,1.67,1.0,1.0,1.0,5271.0,100.0,100.0,group
5B,gambling_percent_income_vs_alcohol_percent_income,1.44,1.28,1.65,1.44,1.28,1.65,1.0,1.0,0.98,4371.0,100.0,100.0,group
6A,gambling_percent_income_vs_alcohol_percent_income,1.51,1.32,1.74,1.51,1.32,1.74,1.0,1.0,1.0,4977.0,100.0,100.0,group
6B,gambling_percent_income_vs_alcohol_percent_income,1.46,1.31,1.59,1.46,1.31,1.59,1.0,1.0,1.0,6941.0,100.0,100.0,group
7A,gambling_percent_income_vs_alcohol_percent_income,1.58,1.29,1.96,1.58,1.29,1.96,1.0,0.95,0.81,1900.0,100.0,100.0,group
7B,gambling_percent_income_vs_alcohol_percent_income,1.55,0.98,2.35,1.84,1.56,2.39,0.5,0.27,0.11,530.0,100.0,50.0,group
7C,gambling_percent_income_vs_alcohol_percent_income,1.54,1.2,1.83,1.56,1.3,1.83,0.96,0.9,0.73,1574.0,100.0,96.0,group
7D,gambling_percent_income_vs_alcohol_percent_income,1.32,0.98,1.86,1.64,1.47,1.88,0.29,0.1,0.03,549.0,100.0,29.0,group
8A,gambling_percent_income_vs_alcohol_percent_income,1.41,1.22,1.58,1.41,1.22,1.58,1.0,0.96,0.89,2724.0,100.0,100.0,group
8B,gambling_percent_income_vs_alcohol_percent_income,1.61,1.29,1.91,1.61,1.34,1.91,0.99,0.97,0.91,1679.0,100.0,99.0,group
8C,gambling_percent_income_vs_alcohol_percent_income,1.48,1.3,1.74,1.48,1.3,1.74,1.0,1.0,0.97,2908.0,100.0,100.0,group
8D,gambling_percent_income_vs_alcohol_percent_income,1.46,1.21,1.74,1.46,1.22,1.74,0.98,0.93,0.71,2229.0,100.0,98.0,group
1A1,gambling_percent_income_vs_alcohol_percent_income,1.79,1.25,2.39,1.85,1.49,2.4,0.89,0.79,0.51,705.0,100.0,89.0,subgroup
1A2,gambling_percent_income_vs_alcohol_percent_income,1.39,1.07,1.89,1.6,1.41,2.1,0.41,0.2,0.06,794.0,100.0,41.0,subgroup
1A3,gambling_percent_income_vs_alcohol_percent_income,1.49,1.04,2.08,1.73,1.5,2.12,0.52,0.37,0.09,639.0,100.0,52.0,subgroup
1A4,gambling_percent_income_vs_alcohol_percent_income,1.3,0.74,2.0,1.78,0.8,2.29,0.11,0.04,0.0,332.0,100.0,11.0,subgroup
1B1,gambling_percent_income_vs_alcohol_percent_income,1.22,0.98,1.54,1.37,1.27,1.59,0.38,0.21,0.07,1510.0,100.0,38.0,subgroup
1B2,gambling_percent_income_vs_alcohol_percent_income,1.19,0.95,1.56,1.42,1.32,1.58,0.2,0.08,0.01,1326.0,100.0,20.0,subgroup
1B3,gambling_percent_income_vs_alcohol_percent_income,1.14,0.84,1.5,1.47,1.38,1.55,0.08,0.03,0.0,856.0,100.0,8.0,subgroup
1C1,gambling_percent_income_vs_alcohol_percent_income,1.5,0.77,2.59,2.23,1.95,2.95,0.16,0.03,0.0,233.0,100.0,16.0,subgroup
1C2,gambling_percent_income_vs_alcohol_percent_income,1.57,0.77,2.4,2.04,1.71,2.65,0.35,0.17,0.02,323.0,100.0,35.0,subgroup
1C3,gambling_percent_income_vs_alcohol_percent_income,1.32,0.69,2.09,1.91,1.13,2.53,0.19,0.04,0.01,358.0,100.0,19.0,subgroup
2A1,gambling_percent_income_vs_alcohol_percent_income,2.38,0.27,9.09,9.98,5.73,14.25,0.05,0.01,0.0,57.0,91.0,5.0,subgroup
2A2,gambling_percent_income_vs_alcohol_percent_income,1.68,0.42,4.7,5.64,3.71,8.9,0.05,0.0,0.0,76.0,99.0,5.0,subgroup
2A3,gambling_percent_income_vs_alcohol_percent_income,0.81,0.43,1.5,0.47,0.37,0.52,0.18,0.04,0.0,282.0,100.0,18.0,subgroup
2B1,gambling_percent_income_vs_alcohol_percent_income,2.65,0.7,7.84,4.93,2.67,12.14,0.26,0.09,0.01,143.0,100.0,26.0,subgroup
2B2,gambling_percent_income_vs_alcohol_percent_income,2.76,1.0,6.32,3.48,2.25,6.82,0.59,0.3,0.1,238.0,100.0,59.0,subgroup
2C1,gambling_percent_income_vs_alcohol_percent_income,1.38,0.77,2.26,2.01,1.65,2.46,0.2,0.12,0.02,371.0,100.0,20.0,subgroup
2C2,gambling_percent_income_vs_alcohol_percent_income,1.07,0.48,2.09,1.66,0.39,2.93,0.02,0.01,0.0,151.0,100.0,2.0,subgroup
2C3,gambling_percent_income_vs_alcohol_percent_income,2.32,0.85,8.17,4.52,2.56,11.88,0.24,0.08,0.04,210.0,100.0,24.0,subgroup
2D1,gambling_percent_income_vs_alcohol_percent_income,4.92,1.61,12.53,5.44,2.57,13.16,0.84,0.6,0.29,194.0,100.0,84.0,subgroup
2D2,gambling_percent_income_vs_alcohol_percent_income,2.19,0.48,8.25,7.72,4.07,11.98,0.07,0.03,0.0,147.0,98.0,7.0,subgroup
2D3,gambling_percent_income_vs_alcohol_percent_income,1.55,0.47,3.72,3.57,2.78,4.58,0.06,0.01,0.0,150.0,100.0,6.0,subgroup
3A1,gambling_percent_income_vs_alcohol_percent_income,1.62,0.84,2.88,2.3,1.84,3.29,0.3,0.13,0.04,319.0,100.0,30.0,subgroup
3A2,gambling_percent_income_vs_alcohol_percent_income,1.47,0.68,2.56,2.38,2.06,2.77,0.1,0.02,0.0,270.0,100.0,10.0,subgroup
3B1,gambling_percent_income_vs_alcohol_percent_income,1.54,0.52,3.47,3.15,2.47,3.83,0.11,0.04,0.0,148.0,100.0,11.0,subgroup
