Modified_OA_class_3,Category_Pair,Mean_OddsRatio_All,OddsRatio_CI_lower_All,OddsRatio_CI_upper_All,Mean_OddsRatio_Sig,OddsRatio_CI_lower_Sig,OddsRatio_CI_upper_Sig,Significant_Fraction_0.05,Significant_Fraction_0.01,Significant_Fraction_0.001,Mean_Sample_Size,Filtered_N,Significant_N,level
1A,gambling_percent_income_vs_tobacco_percent_income,1.98,1.48,2.54,1.98,1.51,2.54,1.0,0.98,0.93,2470.0,1000.0,995.0,group
1B,gambling_percent_income_vs_tobacco_percent_income,2.06,1.67,2.49,2.06,1.67,2.49,1.0,1.0,1.0,3692.0,1000.0,1000.0,group
1C,gambling_percent_income_vs_tobacco_percent_income,2.45,1.44,3.67,2.52,1.73,3.72,0.93,0.84,0.62,914.0,1000.0,934.0,group
2A,gambling_percent_income_vs_tobacco_percent_income,2.22,1.08,3.94,2.63,1.93,4.06,0.62,0.4,0.15,415.0,1000.0,621.0,group
2B,gambling_percent_income_vs_tobacco_percent_income,3.59,1.65,6.76,3.8,2.29,7.0,0.9,0.74,0.48,381.0,1000.0,896.0,group
2C,gambling_percent_income_vs_tobacco_percent_income,1.57,0.9,2.38,1.94,1.62,2.55,0.39,0.2,0.06,732.0,1000.0,394.0,group
2D,gambling_percent_income_vs_tobacco_percent_income,3.84,1.75,6.95,4.05,2.38,7.21,0.9,0.76,0.54,491.0,1000.0,901.0,group
3A,gambling_percent_income_vs_tobacco_percent_income,1.7,0.93,2.78,2.15,1.72,2.97,0.42,0.22,0.06,589.0,1000.0,415.0,group
3B,gambling_percent_income_vs_tobacco_percent_income,1.83,0.72,3.59,2.81,2.15,4.32,0.26,0.1,0.03,382.0,1000.0,260.0,group
3C,gambling_percent_income_vs_tobacco_percent_income,2.95,1.17,6.06,3.57,2.3,6.45,0.65,0.43,0.18,196.0,1000.0,653.0,group
3D,gambling_percent_income_vs_tobacco_percent_income,1.85,0.89,3.31,2.39,1.88,3.61,0.43,0.2,0.06,443.0,1000.0,429.0,group
4A,gambling_percent_income_vs_tobacco_percent_income,1.75,1.35,2.22,1.75,1.36,2.22,0.99,0.96,0.88,2133.0,1000.0,994.0,group
4B,gambling_percent_income_vs_tobacco_percent_income,3.41,2.31,4.92,3.41,2.31,4.92,1.0,1.0,0.99,1069.0,1000.0,1000.0,group
4C,gambling_percent_income_vs_tobacco_percent_income,1.65,1.06,2.44,1.87,1.54,2.54,0.6,0.37,0.14,1181.0,1000.0,603.0,group
5A,gambling_percent_income_vs_tobacco_percent_income,1.81,1.55,2.13,1.81,1.55,2.13,1.0,1.0,1.0,5271.0,1000.0,1000.0,group
5B,gambling_percent_income_vs_tobacco_percent_income,1.82,1.51,2.17,1.82,1.51,2.17,1.0,1.0,1.0,4371.0,1000.0,1000.0,group
6A,gambling_percent_income_vs_tobacco_percent_income,1.67,1.31,2.05,1.68,1.35,2.05,0.99,0.95,0.85,4977.0,1000.0,987.0,group
6B,gambling_percent_income_vs_tobacco_percent_income,1.78,1.53,2.07,1.78,1.53,2.07,1.0,1.0,1.0,6941.0,1000.0,1000.0,group
